chamber,isNeg,lm_name,party,state,worth,year
S,False,John Kerry,D,Mass,274574824,2004
S,False,Herb Kohl,D,Wis,255032014,2004
H,False,Jane Harman,D,Calif,227200344,2004
H,False,Darrell Issa,R,Calif,204439033,2004
S,False,Jon S. Corzine,D,NJ,157966020,2004
H,False,Amo Houghton,R,NY,147433056,2004
H,False,Doug Ose,R,Calif,118605543,2004
S,False,Jay Rockefeller,D,WVa,101689012,2004
S,False,Peter G. Fitzgerald,R,Ill,94121315,2004
H,False,Charles H. Taylor,R,NC,66316009,2004
S,False,Dianne Feinstein,D,Calif,61768616,2004
H,False,Robin Hayes,R,NC,61419729,2004
S,False,Lincoln D. Chafee,R,RI,53858564,2004
S,False,Frank R. Lautenberg,D,NJ,52389072,2004
H,False,Rodney Frelinghuysen,R,NJ,49680590,2004
H,False,Gary Miller,R,Calif,45589037,2004
H,False,Nancy Pelosi,D,Calif,41209054,2004
H,False,Chris Chocola,R,Ind,35772540,2004
H,False,Michael McCaul,R,Texas,34176566,2004
S,False,Mike DeWine,R,Ohio,31836695,2004
H,False,Denny Rehberg,R,Mont,30807506,2004
H,False,Nita M. Lowey,D,NY,30342234,2004
S,False,Hillary Clinton,D,NY,30098002,2004
S,False,Edward M. Kennedy,D,Mass,28604012,2004
S,False,Lamar Alexander,R,Tenn,28400433,2004
H,False,F. James Sensenbrenner Jr.,R,Wis,27493129,2004
S,False,Bill Frist,R,Tenn,27280032,2004
H,False,Kenny Marchant,R,Texas,26846028,2004
H,False,E. Clay Shaw Jr.,R,Fla,24225512,2004
S,False,John McCain,R,Ariz,23998052,2004
S,False,Gordon H. Smith,R,Ore,23467741,2004
S,False,Richard C. Shelby,R,Ala,22472010,2004
S,False,Elizabeth Dole,R,NC,21960061,2004
H,False,Tom Petri,R,Wis,21233515,2004
H,False,Cass Ballenger,R,NC,20863091,2004
H,False,John Linder,R,Ga,20823015,2004
H,False,Carolyn B. Maloney,D,NY,20417535,2004
H,False,Rahm Emanuel,D,Ill,19796009,2004
S,False,Olympia J. Snowe,R,Maine,19699533,2004
S,False,Bob Graham,D,Fla,18745544,2004
S,False,John Edwards,D,NC,18199579,2004
H,False,Porter Goss,R,Fla,18091587,2004
H,False,David Dreier,R,Calif,18052516,2004
H,False,Anne M. Northup,R,Ky,17965034,2004
H,False,Paul E. Gillmor,R,Ohio,17043019,2004
H,False,Michael E. Sodrel,R,Ind,17027791,2004
H,False,Steve Pearce,R,NM,16940505,2004
H,False,Rosa L. DeLauro,D,Conn,16555020,2004
H,False,Johnny Isakson,R,Ga,15542543,2004
H,False,Katherine Harris,R,Fla,15478008,2004
S,False,Ben Nelson,D,Neb,12895523,2004
H,False,Lloyd Doggett,D,Texas,12394552,2004
S,False,Mark Dayton,D,Minn,12356672,2004
H,False,Tom Price,R,Ga,11416711,2004
H,False,Rob Portman,R,Ohio,10689540,2004
H,False,Fred Upton,R,Mich,9972037,2004
H,False,Ken Lucas,D,Ky,9232504,2004
H,False,Jim Leach,R,Iowa,9177081,2004
H,False,Tom Osborne,R,Neb,8672683,2004
H,False,Sue Kelly,R,NY,8389526,2004
H,False,Jim Moran,D,Va,8079160,2004
H,False,"C. L. Butch"" Otter",R,Idaho),8065045,2004
H,False,Dave Hobson,R,Ohio,8038030,2004
S,False,Ben Nighthorse Campbell,R,Colo,7945506,2004
H,False,Don Sherwood,R,Pa,7827015,2004
H,False,Dave Camp,R,Mich,7594553,2004
H,False,Chris Cannon,R,Utah,7481506,2004
H,False,Alan B. Mollohan,D,WVa,7290006,2004
H,False,Lynn A. Westmoreland,R,Ga,7133502,2004
H,False,Randy Neugebauer,R,Texas,6964024,2004
S,False,Jeff Bingaman,D,NM,6937575,2004
H,False,John M. Spratt Jr.,D,SC,6801008,2004
H,False,Christopher Cox,R,Calif,6521009,2004
H,False,Terry Everett,R,Ala,6511414,2004
H,False,James L. Oberstar,D,Minn,6286543,2004
H,False,Judy Biggert,R,Ill,6231042,2004
H,False,Trent Franks,R,Ariz,6207502,2004
H,False,Wally Herger,R,Calif,6175001,2004
S,False,Judd Gregg,R,NH,5917533,2004
S,False,Maria Cantwell,D,Wash,5894003,2004
S,False,Sam Brownback,R,Kan,5836021,2004
H,False,Shelley Berkley,D,Nev,5752024,2004
H,False,Phil Gingrey,R,Ga,5701021,2004
H,False,Jon Porter,R,Nev,5589009,2004
H,False,Allen Boyd,D,Fla,5523505,2004
H,False,Nathan Deal,R,Ga,5415611,2004
S,False,Robert F. Bennett,R,Utah,5395512,2004
H,False,John Tanner,D,Tenn,5273522,2004
H,False,Bob Beauprez,R,Colo,5214572,2004
H,False,Henry Brown,R,SC,5169009,2004
H,False,Bart Gordon,D,Tenn,5106035,2004
H,False,John Barrow,D,Ga,5076520,2004
H,False,Jeb Bradley,R,NH,5013638,2004
S,False,Chuck Hagel,R,Neb,5006007,2004
H,False,Rick Renzi,R,Ariz,4991502,2004
S,False,Arlen Specter,R,Pa,4867014,2004
S,False,John W. Warner,R,Va,4578941,2004
H,False,Jerry Kleczka,D,Wis,4554026,2004
H,False,Ander Crenshaw,R,Fla,4544511,2004
S,False,Ted Stevens,R,Alaska,4469533,2004
S,False,Bill Nelson,D,Fla,4414507,2004
H,False,Nick Rahall,D,WVa,4292581,2004
H,False,Steven R. Rothman,D,NJ,4250047,2004
H,False,Michael N. Castle,R,Del,4242569,2004
S,False,Evan Bayh,D,Ind,4239517,2004
H,False,Marion Berry,D,Ark,4165005,2004
H,False,Lamar Smith,R,Texas,4113319,2004
H,False,Ruben Hinojosa,D,Texas,4052013,2004
H,False,Hal Rogers,R,Ky,4029257,2004
H,False,Joe Schwarz,R,Mich,4006275,2004
S,False,Kay Bailey Hutchison,R,Texas,3985555,2004
H,False,John L. Mica,R,Fla,3983505,2004
H,False,Greg Walden,R,Ore,3933507,2004
H,False,Mike Conaway,R,Texas,3928039,2004
H,False,Virginia Foxx,R,NC,3886521,2004
H,False,Al Green,D,Texas,3882504,2004
H,False,Jim Cooper,D,Tenn,3869020,2004
H,False,Roscoe G. Bartlett,R,Md,3783003,2004
S,False,Harry Reid,D,Nev,3770044,2004
H,False,Nick Smith,R,Mich,3730016,2004
H,False,Tom Lantos,D,Calif,3694012,2004
H,False,John D. Dingell,D,Mich,3687032,2004
H,False,Jo Bonner,R,Ala,3604513,2004
H,False,Eric Cantor,R,Va,3561072,2004
