,Count,Species,Species_Index,Year
0,0.0,"Heron, Great Blue",0,89
1,0.0,"Heron, Great Blue",0,90
2,0.0,"Heron, Great Blue",0,91
3,0.0,"Heron, Great Blue",0,92
4,1.0,"Heron, Great Blue",0,93
5,0.0,"Heron, Great Blue",0,94
6,0.0,"Heron, Great Blue",0,95
7,0.0,"Heron, Great Blue",0,96
8,0.0,"Heron, Great Blue",0,97
9,0.0,"Heron, Great Blue",0,98
10,0.0,"Heron, Great Blue",0,99
11,0.0,"Heron, Great Blue",0,00
12,0.0,"Heron, Great Blue",0,01
13,1.0,"Heron, Great Blue",0,02
14,0.0,"Heron, Great Blue",0,03
15,0.0,"Heron, Great Blue",0,04
16,0.0,"Heron, Great Blue",0,05
17,0.0,"Heron, Great Blue",0,06
18,0.0,"Heron, Great Blue",0,07
19,0.0,"Heron, Great Blue",0,08
20,0.0,"Heron, Great Blue",0,09
21,0.0,"Heron, Great Blue",0,10
22,0.0,"Heron, Great Blue",0,11
23,0.0,"Heron, Great Blue",0,12
24,0.0,"Heron, Great Blue",0,13
25,0.0,"Goose, Canada",1,89
26,1.0,"Goose, Canada",1,90
27,3.0,"Goose, Canada",1,91
28,0.0,"Goose, Canada",1,92
29,0.0,"Goose, Canada",1,93
30,0.0,"Goose, Canada",1,94
31,0.0,"Goose, Canada",1,95
32,0.0,"Goose, Canada",1,96
33,0.0,"Goose, Canada",1,97
34,3.0,"Goose, Canada",1,98
35,0.0,"Goose, Canada",1,99
36,0.0,"Goose, Canada",1,00
37,0.0,"Goose, Canada",1,01
38,0.0,"Goose, Canada",1,02
39,11.0,"Goose, Canada",1,03
40,0.0,"Goose, Canada",1,04
41,0.0,"Goose, Canada",1,05
42,0.0,"Goose, Canada",1,06
43,0.0,"Goose, Canada",1,07
44,0.0,"Goose, Canada",1,08
45,0.0,"Goose, Canada",1,09
46,1.0,"Goose, Canada",1,10
47,0.0,"Goose, Canada",1,11
48,0.0,"Goose, Canada",1,12
49,0.0,"Goose, Canada",1,13
50,0.0,"Goose, Snow",2,89
51,0.0,"Goose, Snow",2,90
52,0.0,"Goose, Snow",2,91
53,0.0,"Goose, Snow",2,92
54,0.0,"Goose, Snow",2,93
55,0.0,"Goose, Snow",2,94
56,0.0,"Goose, Snow",2,95
57,0.0,"Goose, Snow",2,96
58,0.0,"Goose, Snow",2,97
59,0.0,"Goose, Snow",2,98
60,0.0,"Goose, Snow",2,99
61,0.0,"Goose, Snow",2,00
62,0.0,"Goose, Snow",2,01
63,0.0,"Goose, Snow",2,02
64,0.0,"Goose, Snow",2,03
65,0.0,"Goose, Snow",2,04
66,0.0,"Goose, Snow",2,05
67,0.0,"Goose, Snow",2,06
68,0.0,"Goose, Snow",2,07
69,5.0,"Goose, Snow",2,08
70,0.0,"Goose, Snow",2,09
71,0.0,"Goose, Snow",2,10
72,0.0,"Goose, Snow",2,11
73,0.0,"Goose, Snow",2,12
74,0.0,"Goose, Snow",2,13
75,0.0,"Duck,Wood",3,89
76,0.0,"Duck,Wood",3,90
77,0.0,"Duck,Wood",3,91
78,1.0,"Duck,Wood",3,92
79,0.0,"Duck,Wood",3,93
80,0.0,"Duck,Wood",3,94
81,0.0,"Duck,Wood",3,95
82,0.0,"Duck,Wood",3,96
83,0.0,"Duck,Wood",3,97
84,0.0,"Duck,Wood",3,98
85,0.0,"Duck,Wood",3,99
86,0.0,"Duck,Wood",3,00
87,0.0,"Duck,Wood",3,01
88,0.0,"Duck,Wood",3,02
89,0.0,"Duck,Wood",3,03
90,0.0,"Duck,Wood",3,04
91,0.0,"Duck,Wood",3,05
92,0.0,"Duck,Wood",3,06
93,0.0,"Duck,Wood",3,07
94,0.0,"Duck,Wood",3,08
95,0.0,"Duck,Wood",3,09
96,0.0,"Duck,Wood",3,10
97,0.0,"Duck,Wood",3,11
98,0.0,"Duck,Wood",3,12
99,0.0,"Duck,Wood",3,13
100,6.0,"Duck, Mallard",4,89
101,4.0,"Duck, Mallard",4,90
102,40.0,"Duck, Mallard",4,91
103,72.0,"Duck, Mallard",4,92
104,49.0,"Duck, Mallard",4,93
105,85.0,"Duck, Mallard",4,94
106,53.0,"Duck, Mallard",4,95
107,32.0,"Duck, Mallard",4,96
108,63.0,"Duck, Mallard",4,97
109,0.0,"Duck, Mallard",4,98
110,0.0,"Duck, Mallard",4,99
111,14.0,"Duck, Mallard",4,00
112,125.0,"Duck, Mallard",4,01
113,150.0,"Duck, Mallard",4,02
114,19.0,"Duck, Mallard",4,03
115,180.0,"Duck, Mallard",4,04
116,57.0,"Duck, Mallard",4,05
117,22.0,"Duck, Mallard",4,06
118,67.0,"Duck, Mallard",4,07
119,137.0,"Duck, Mallard",4,08
120,29.0,"Duck, Mallard",4,09
121,75.0,"Duck, Mallard",4,10
122,25.0,"Duck, Mallard",4,11
123,18.0,"Duck, Mallard",4,12
124,51.0,"Duck, Mallard",4,13
125,58.0,"Duck, American Black",5,89
126,24.0,"Duck, American Black",5,90
127,0.0,"Duck, American Black",5,91
128,2.0,"Duck, American Black",5,92
129,15.0,"Duck, American Black",5,93
130,53.0,"Duck, American Black",5,94
131,5.0,"Duck, American Black",5,95
132,4.0,"Duck, American Black",5,96
133,6.0,"Duck, American Black",5,97
134,0.0,"Duck, American Black",5,98
135,2.0,"Duck, American Black",5,99
136,0.0,"Duck, American Black",5,00
137,0.0,"Duck, American Black",5,01
138,0.0,"Duck, American Black",5,02
139,0.0,"Duck, American Black",5,03
140,0.0,"Duck, American Black",5,04
141,5.0,"Duck, American Black",5,05
142,1.0,"Duck, American Black",5,06
143,5.0,"Duck, American Black",5,07
144,10.0,"Duck, American Black",5,08
145,0.0,"Duck, American Black",5,09
146,1.0,"Duck, American Black",5,10
