2004,2004_chamber,2005,2005_chamber,2006,2006_chamber,2007,2007_chamber,2008,2008_chamber,2009,2009_chamber,2010,2010_chamber,2011,2011_chamber,2012,2012_chamber,2013,2013_chamber,2014,2014_chamber,avg,houseToSenateIncrease,name,netIncrease,party,state
274574824.0,S,205201748.0,S,267789805.0,S,336224883.0,S,208801275.0,S,238812296.0,S,231722794.0,S,,,,,,,,,251875375.0,,John Kerry,-42852030,D,Mass
255032014.0,S,314298514.0,S,336898013.0,S,250545513.0,S,252145012.0,S,197802011.0,S,173538010.0,S,171257008.0,S,329913009.0,S,329913009.0,S,,,261134211.3,,Herb Kohl,74880995,D,Wis
227200344.0,H,232398328.0,H,391426886.0,H,397412077.0,H,244796667.0,H,293454761.0,H,326844751.0,H,,,,,,,,,301933402.0,,Jane Harman,99644407,D,Calif
204439033.0,H,406546049.0,H,337440028.0,H,343457521.0,H,251025020.0,H,303575011.0,H,448125017.0,H,480325019.0,H,464115018.0,H,464115018.0,H,436500015.0,H,376332977.1818182,,Darrell Issa,232060982,R,Calif
157966020.0,S,157988521.0,S,,,,,,,,,,,,,,,,,,,157977270.5,,Jon S. Corzine,22501,D,NJ
147433056.0,H,,,,,,,,,,,,,,,,,,,,,147433056.0,,Amo Houghton,0,R,NY
118605543.0,H,,,,,,,,,,,,,,,,,,,,,118605543.0,,Doug Ose,0,R,Calif
101689012.0,S,89864511.0,S,90713011.0,S,93715011.0,S,94306010.0,S,98832010.0,S,99057011.0,S,102706012.0,S,101290514.0,S,101290514.0,S,,,97346361.6,,Jay Rockefeller,-398498,D,WVa
94121315.0,S,,,,,,,,,,,,,,,,,,,,,94121315.0,,Peter G. Fitzgerald,0,R,Ill
66316009.0,H,66698509.0,H,66698509.0,H,,,,,,,,,,,,,,,,,66571009.0,,Charles H. Taylor,382500,R,NC
61768616.0,S,70985657.0,S,79555657.0,S,84211164.0,S,72380637.0,S,77082134.0,S,69046622.0,S,70725124.0,S,68446578.0,S,68446578.0,S,94202571.0,S,74259212.54545455,,Dianne Feinstein,32433955,D,Calif
61419729.0,H,59461182.0,H,82552081.0,H,173409173.0,H,126865159.0,H,,,,,,,,,,,,,100741464.8,,Robin Hayes,65445430,R,NC
53858564.0,S,51624560.0,S,42943055.0,S,,,,,,,,,,,,,,,,,49475393.0,,Lincoln D. Chafee,-10915509,R,RI
52389072.0,S,64465586.0,S,79051090.0,S,89509099.0,S,,,76886611.0,S,85572116.0,S,87557109.0,S,,,,,,,76490097.57142857,,Frank R. Lautenberg,35168037,D,NJ
49680590.0,H,43574087.0,H,49515595.0,H,47350092.0,H,40898090.0,H,43797589.0,H,42900594.0,H,47990593.0,H,45402595.0,H,45402595.0,H,52884604.0,H,46308820.36363637,,Rodney Frelinghuysen,3204014,R,NJ
