,,Emissions Totals,,Emissions by Gas,,,,Emissions by Sector,,,,,,Energy Emissions by Sub-Sector,,,,,,Socio-economic Data,,
State,Year,Total GHG Emissions Excluding LUCF (MtCO2e),Total GHG Emissions Including LUCF (MtCO2e),Total CO2 (excluding LUCF) (MtCO2e),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land Use and Forestry (MtCO2e),Bunker Fuels (MtCO2e),Electric Power (MtCO2e),Commercial (MtCO2e),Residential (MtCO2e),Industrial (MtCO2e),Transportation (MtCO2e),Fugitive Emissions (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Total Energy Use (Thous. tonnes oil eq. (ktoe))
Alabama,1990,137.888617,81.30573342,112.128509,20.37643163,4.789129625,0.594546763,125.397445,3.518224175,5.631201208,3.341746642,-56.5828836,0,50.58564252,2.450527936,3.211859943,25.43286188,29.57502677,14.14152595,83766,4050055,41970.97941
Alaska,1990,45.49332235,14.17379123,35.8776092,9.303825421,0.269330994,0.042556734,44.0240068,1.099235559,0.046248652,0.323831331,-31.31953111,0,2.610906509,2.208041671,1.607360049,15.8435162,12.29855939,9.455622984,28772,553290,14718.64465
Arizona,1990,70.34447375,77.27245363,63.27548386,3.457626168,2.815894861,0.795468861,64.51350806,1.125350448,3.381277663,1.324337586,6.927979877,0,32.68376551,1.911842016,1.890471429,3.88477044,24.06053178,0.082126871,81606,3684097,23661.773
Arkansas,1990,66.9748763,21.02505754,52.19405114,7.739253885,6.76939797,0.272173302,52.95444278,1.187569316,11.27906919,1.553795021,-45.94981876,0,21.69899603,1.627999682,2.55221416,9.47996812,16.88030334,0.714961443,44496,2356586,21569.30091
California,1990,420.7407294,391.5102833,368.5956566,30.72994069,18.70544999,2.709682058,378.3543132,7.883050868,21.48346328,13.01990206,-29.23044607,0,40.30340305,19.06882213,30.07066722,71.91054294,212.4854802,4.515397615,906103,29959515,187616.4466
Colorado,1990,82.50269448,70.86346461,65.92025861,11.21878914,5.003979707,0.359667029,72.86662248,0.716071764,8.14827399,0.77172625,-11.63922987,0,31.42839728,4.001832822,5.401609123,5.607586154,20.09548776,6.331709335,88933,3307618,23508.98796
Connecticut,1990,43.88507873,39.52125377,41.17914686,1.311914184,1.116749349,0.277268332,41.5889798,0.313110029,0.294204496,1.688784408,-4.363824956,0,10.9802713,3.823951578,8.246895762,2.950047169,15.58781399,0,121176,3291967,19360.45717
Delaware,1990,19.0420263,19.32011192,17.84412781,0.304774342,0.795495316,0.097628833,17.98672769,0.104185991,0.60914554,0.341967079,0.278085625,0,7.520454673,0.579142249,1.083042532,4.047457904,4.75663033,0,25887,669567,6437.055599
District Of Columbia,1990,4.726881542,4.637696924,4.449612614,0.066459608,0.128476462,0.082332859,4.580109255,0.089638406,0,0.057133881,-0.089184618,0,0.409091336,1.244631287,0.932214774,0.03846189,1.955709968,0,51175,605321,4561.627465
