,Count,Species,Species_Index,Year
0,0.0,"Goose, Snow",0,89
1,0.0,"Goose, Snow",0,90
2,0.0,"Goose, Snow",0,91
3,0.0,"Goose, Snow",0,92
4,0.0,"Goose, Snow",0,93
5,0.0,"Goose, Snow",0,94
6,0.0,"Goose, Snow",0,95
7,0.0,"Goose, Snow",0,96
8,0.0,"Goose, Snow",0,97
9,0.0,"Goose, Snow",0,98
10,0.0,"Goose, Snow",0,99
11,0.0,"Goose, Snow",0,00
12,0.0,"Goose, Snow",0,01
13,0.0,"Goose, Snow",0,02
14,0.0,"Goose, Snow",0,03
15,0.0,"Goose, Snow",0,04
16,0.0,"Goose, Snow",0,05
17,0.0,"Goose, Snow",0,06
18,0.0,"Goose, Snow",0,07
19,5.0,"Goose, Snow",0,08
20,0.0,"Goose, Snow",0,09
21,0.0,"Goose, Snow",0,10
22,0.0,"Goose, Snow",0,11
23,0.0,"Goose, Snow",0,12
24,0.0,"Goose, Snow",0,13
25,0.0,"Goose, Snow",0,14
26,0.0,"Goose, Snow",0,15
27,0.0,"Goose, Snow",0,16
28,0.0,"Goose, Snow",0,17
29,0.0,"Goose, Snow",0,18
30,0.0,"Goose, Snow",0,19
31,0.0,"Goose, Canada",1,89
32,1.0,"Goose, Canada",1,90
33,3.0,"Goose, Canada",1,91
34,0.0,"Goose, Canada",1,92
35,0.0,"Goose, Canada",1,93
36,0.0,"Goose, Canada",1,94
37,0.0,"Goose, Canada",1,95
38,0.0,"Goose, Canada",1,96
39,0.0,"Goose, Canada",1,97
40,3.0,"Goose, Canada",1,98
41,0.0,"Goose, Canada",1,99
42,0.0,"Goose, Canada",1,00
43,0.0,"Goose, Canada",1,01
44,0.0,"Goose, Canada",1,02
45,11.0,"Goose, Canada",1,03
46,0.0,"Goose, Canada",1,04
47,0.0,"Goose, Canada",1,05
48,0.0,"Goose, Canada",1,06
49,0.0,"Goose, Canada",1,07
50,0.0,"Goose, Canada",1,08
51,0.0,"Goose, Canada",1,09
52,1.0,"Goose, Canada",1,10
53,0.0,"Goose, Canada",1,11
54,0.0,"Goose, Canada",1,12
55,0.0,"Goose, Canada",1,13
56,0.0,"Goose, Canada",1,14
57,15.0,"Goose, Canada",1,15
58,0.0,"Goose, Canada",1,16
59,0.0,"Goose, Canada",1,17
60,0.0,"Goose, Canada",1,18
61,48.0,"Goose, Canada",1,19
62,0.0,"Duck,Wood",2,89
63,0.0,"Duck,Wood",2,90
64,0.0,"Duck,Wood",2,91
65,1.0,"Duck,Wood",2,92
66,0.0,"Duck,Wood",2,93
67,0.0,"Duck,Wood",2,94
68,0.0,"Duck,Wood",2,95
69,0.0,"Duck,Wood",2,96
70,0.0,"Duck,Wood",2,97
71,0.0,"Duck,Wood",2,98
72,0.0,"Duck,Wood",2,99
73,0.0,"Duck,Wood",2,00
74,0.0,"Duck,Wood",2,01
75,0.0,"Duck,Wood",2,02
76,0.0,"Duck,Wood",2,03
77,0.0,"Duck,Wood",2,04
78,0.0,"Duck,Wood",2,05
79,0.0,"Duck,Wood",2,06
80,0.0,"Duck,Wood",2,07
81,0.0,"Duck,Wood",2,08
82,0.0,"Duck,Wood",2,09
83,0.0,"Duck,Wood",2,10
84,0.0,"Duck,Wood",2,11
85,0.0,"Duck,Wood",2,12
86,0.0,"Duck,Wood",2,13
87,0.0,"Duck,Wood",2,14
88,1.0,"Duck,Wood",2,15
89,0.0,"Duck,Wood",2,16
90,0.0,"Duck,Wood",2,17
91,0.0,"Duck,Wood",2,18
92,0.0,"Duck,Wood",2,19
93,58.0,"Duck, American Black",3,89
94,24.0,"Duck, American Black",3,90
95,0.0,"Duck, American Black",3,91
96,2.0,"Duck, American Black",3,92
97,15.0,"Duck, American Black",3,93
98,53.0,"Duck, American Black",3,94
99,5.0,"Duck, American Black",3,95
100,4.0,"Duck, American Black",3,96
101,6.0,"Duck, American Black",3,97
102,0.0,"Duck, American Black",3,98
103,2.0,"Duck, American Black",3,99
104,0.0,"Duck, American Black",3,00
105,0.0,"Duck, American Black",3,01
106,0.0,"Duck, American Black",3,02
107,0.0,"Duck, American Black",3,03
108,0.0,"Duck, American Black",3,04
109,5.0,"Duck, American Black",3,05
110,1.0,"Duck, American Black",3,06
111,5.0,"Duck, American Black",3,07
112,10.0,"Duck, American Black",3,08
113,0.0,"Duck, American Black",3,09
114,1.0,"Duck, American Black",3,10
115,0.0,"Duck, American Black",3,11
116,0.0,"Duck, American Black",3,12
117,2.0,"Duck, American Black",3,13
118,0.0,"Duck, American Black",3,14
119,0.0,"Duck, American Black",3,15
120,0.0,"Duck, American Black",3,16
121,0.0,"Duck, American Black",3,17
122,0.0,"Duck, American Black",3,18
123,0.0,"Duck, American Black",3,19
124,6.0,"Duck, Mallard",4,89
125,4.0,"Duck, Mallard",4,90
126,40.0,"Duck, Mallard",4,91
127,72.0,"Duck, Mallard",4,92
128,49.0,"Duck, Mallard",4,93
129,85.0,"Duck, Mallard",4,94
130,53.0,"Duck, Mallard",4,95
131,32.0,"Duck, Mallard",4,96
132,63.0,"Duck, Mallard",4,97
133,0.0,"Duck, Mallard",4,98
134,0.0,"Duck, Mallard",4,99
135,14.0,"Duck, Mallard",4,00
136,125.0,"Duck, Mallard",4,01
137,150.0,"Duck, Mallard",4,02
138,19.0,"Duck, Mallard",4,03
139,180.0,"Duck, Mallard",4,04
140,57.0,"Duck, Mallard",4,05
141,22.0,"Duck, Mallard",4,06
142,67.0,"Duck, Mallard",4,07
143,137.0,"Duck, Mallard",4,08
144,29.0,"Duck, Mallard",4,09
145,75.0,"Duck, Mallard",4,10
146,25.0,"Duck, Mallard",4,11
147,18.0,"Duck, Mallard",4,12
148,51.0,"Duck, Mallard",4,13
149,2.0,"Duck, Mallard",4,14
150,0.0,"Duck, Mallard",4,15
151,14.0,"Duck, Mallard",4,16
152,0.0,"Duck, Mallard",4,17
153,0.0,"Duck, Mallard",4,18
154,16.0,"Duck, Mallard",4,19
155,0.0,Northern Pintail,5,89
156,0.0,Northern Pintail,5,90
157,0.0,Northern Pintail,5,91
158,0.0,Northern Pintail,5,92
159,0.0,Northern Pintail,5,93
160,0.0,Northern Pintail,5,94
161,0.0,Northern Pintail,5,95
162,0.0,Northern Pintail,5,96
163,0.0,Northern Pintail,5,97
164,0.0,Northern Pintail,5,98
165,0.0,Northern Pintail,5,99
166,0.0,Northern Pintail,5,00
167,0.0,Northern Pintail,5,01
168,0.0,Northern Pintail,5,02
169,0.0,Northern Pintail,5,03
170,0.0,Northern Pintail,5,04
171,0.0,Northern Pintail,5,05
172,0.0,Northern Pintail,5,06
173,0.0,Northern Pintail,5,07
174,0.0,Northern Pintail,5,08
175,0.0,Northern Pintail,5,09
176,0.0,Northern Pintail,5,10
177,0.0,Northern Pintail,5,11
178,0.0,Northern Pintail,5,12
179,0.0,Northern Pintail,5,13
180,0.0,Northern Pintail,5,14
181,0.0,Northern Pintail,5,15
182,2.0,Northern Pintail,5,16
183,0.0,Northern Pintail,5,17
184,0.0,Northern Pintail,5,18
185,0.0,Northern Pintail,5,19
186,2.0,"Merganser, Hooded",6,89
187,0.0,"Merganser, Hooded",6,90
188,0.0,"Merganser, Hooded",6,91
189,0.0,"Merganser, Hooded",6,92
190,0.0,"Merganser, Hooded",6,93
191,0.0,"Merganser, Hooded",6,94
192,0.0,"Merganser, Hooded",6,95
193,0.0,"Merganser, Hooded",6,96
194,0.0,"Merganser, Hooded",6,97
195,0.0,"Merganser, Hooded",6,98
196,0.0,"Merganser, Hooded",6,99
197,0.0,"Merganser, Hooded",6,00
198,2.0,"Merganser, Hooded",6,01
199,0.0,"Merganser, Hooded",6,02
200,0.0,"Merganser, Hooded",6,03
201,0.0,"Merganser, Hooded",6,04
202,0.0,"Merganser, Hooded",6,05
203,0.0,"Merganser, Hooded",6,06
204,0.0,"Merganser, Hooded",6,07
205,0.0,"Merganser, Hooded",6,08
206,0.0,"Merganser, Hooded",6,09
207,0.0,"Merganser, Hooded",6,10
208,0.0,"Merganser, Hooded",6,11
209,1.0,"Merganser, Hooded",6,12
210,3.0,"Merganser, Hooded",6,13
211,0.0,"Merganser, Hooded",6,14
212,0.0,"Merganser, Hooded",6,15
213,0.0,"Merganser, Hooded",6,16
214,0.0,"Merganser, Hooded",6,17
215,1.0,"Merganser, Hooded",6,18
216,0.0,"Merganser, Hooded",6,19
217,0.0,"Merganser, Common",7,89
218,0.0,"Merganser, Common",7,90
219,0.0,"Merganser, Common",7,91
220,0.0,"Merganser, Common",7,92
221,0.0,"Merganser, Common",7,93
222,0.0,"Merganser, Common",7,94
223,0.0,"Merganser, Common",7,95
224,0.0,"Merganser, Common",7,96
225,0.0,"Merganser, Common",7,97
226,0.0,"Merganser, Common",7,98
227,0.0,"Merganser, Common",7,99
228,0.0,"Merganser, Common",7,00
229,0.0,"Merganser, Common",7,01
230,0.0,"Merganser, Common",7,02
231,0.0,"Merganser, Common",7,03
232,0.0,"Merganser, Common",7,04
233,0.0,"Merganser, Common",7,05
234,0.0,"Merganser, Common",7,06
235,0.0,"Merganser, Common",7,07
236,0.0,"Merganser, Common",7,08
237,0.0,"Merganser, Common",7,09
238,0.0,"Merganser, Common",7,10
239,0.0,"Merganser, Common",7,11
240,1.0,"Merganser, Common",7,12
241,0.0,"Merganser, Common",7,13
242,0.0,"Merganser, Common",7,14
243,0.0,"Merganser, Common",7,15
244,0.0,"Merganser, Common",7,16
245,0.0,"Merganser, Common",7,17
246,0.0,"Merganser, Common",7,18
247,1.0,"Merganser, Common",7,19
248,0.0,"Pheasant, Ring-necked",8,89
249,7.0,"Pheasant, Ring-necked",8,90
250,0.0,"Pheasant, Ring-necked",8,91
251,1.0,"Pheasant, Ring-necked",8,92
252,0.0,"Pheasant, Ring-necked",8,93
253,0.0,"Pheasant, Ring-necked",8,94
254,0.0,"Pheasant, Ring-necked",8,95
255,0.0,"Pheasant, Ring-necked",8,96
256,0.0,"Pheasant, Ring-necked",8,97
257,0.0,"Pheasant, Ring-necked",8,98
258,0.0,"Pheasant, Ring-necked",8,99
259,0.0,"Pheasant, Ring-necked",8,00
260,0.0,"Pheasant, Ring-necked",8,01
261,0.0,"Pheasant, Ring-necked",8,02
262,0.0,"Pheasant, Ring-necked",8,03
263,0.0,"Pheasant, Ring-necked",8,04
264,0.0,"Pheasant, Ring-necked",8,05
265,1.0,"Pheasant, Ring-necked",8,06
266,0.0,"Pheasant, Ring-necked",8,07
267,0.0,"Pheasant, Ring-necked",8,08
268,0.0,"Pheasant, Ring-necked",8,09
269,0.0,"Pheasant, Ring-necked",8,10
270,2.0,"Pheasant, Ring-necked",8,11
271,0.0,"Pheasant, Ring-necked",8,12
272,0.0,"Pheasant, Ring-necked",8,13
273,0.0,"Pheasant, Ring-necked",8,14
274,0.0,"Pheasant, Ring-necked",8,15
275,0.0,"Pheasant, Ring-necked",8,16
276,0.0,"Pheasant, Ring-necked",8,17
277,0.0,"Pheasant, Ring-necked",8,18
278,2.0,"Pheasant, Ring-necked",8,19
279,8.0,"Grouse, Ruffed",9,89
280,4.0,"Grouse, Ruffed",9,90
281,2.0,"Grouse, Ruffed",9,91
282,5.0,"Grouse, Ruffed",9,92
283,3.0,"Grouse, Ruffed",9,93
284,5.0,"Grouse, Ruffed",9,94
285,4.0,"Grouse, Ruffed",9,95
286,5.0,"Grouse, Ruffed",9,96
287,2.0,"Grouse, Ruffed",9,97
288,3.0,"Grouse, Ruffed",9,98
289,11.0,"Grouse, Ruffed",9,99
290,3.0,"Grouse, Ruffed",9,00
291,9.0,"Grouse, Ruffed",9,01
292,2.0,"Grouse, Ruffed",9,02
293,13.0,"Grouse, Ruffed",9,03
294,9.0,"Grouse, Ruffed",9,04
295,7.0,"Grouse, Ruffed",9,05
296,3.0,"Grouse, Ruffed",9,06
297,1.0,"Grouse, Ruffed",9,07
298,2.0,"Grouse, Ruffed",9,08
299,0.0,"Grouse, Ruffed",9,09
300,1.0,"Grouse, Ruffed",9,10
301,5.0,"Grouse, Ruffed",9,11
302,0.0,"Grouse, Ruffed",9,12
303,3.0,"Grouse, Ruffed",9,13
304,3.0,"Grouse, Ruffed",9,14
305,1.0,"Grouse, Ruffed",9,15
306,1.0,"Grouse, Ruffed",9,16
307,3.0,"Grouse, Ruffed",9,17
308,1.0,"Grouse, Ruffed",9,18
309,2.0,"Grouse, Ruffed",9,19
310,0.0,"Grouse, Spruce",10,89
311,0.0,"Grouse, Spruce",10,90
312,0.0,"Grouse, Spruce",10,91
313,0.0,"Grouse, Spruce",10,92
314,0.0,"Grouse, Spruce",10,93
315,1.0,"Grouse, Spruce",10,94
316,0.0,"Grouse, Spruce",10,95
317,1.0,"Grouse, Spruce",10,96
318,0.0,"Grouse, Spruce",10,97
319,0.0,"Grouse, Spruce",10,98
320,0.0,"Grouse, Spruce",10,99
321,0.0,"Grouse, Spruce",10,00
322,0.0,"Grouse, Spruce",10,01
323,2.0,"Grouse, Spruce",10,02
