avg,name,party,state
94202571,Dianne Feinstein ,D,Calif
13221018,Lamar Alexander ,R,Tenn
19642067,John McCain ,R,Ariz
24923011,Johnny Isakson ,R,Ga
14548058,Rob Portman ,R,Ohio
3439505,Maria Cantwell ,D,Wash
3474012,Bill Nelson ,D,Fla
4638027,Harry Reid ,D,Nev
5150073,Tom Carper ,D,Del
3189003,Barbara Boxer ,D,Calif
3762538,Chuck Grassley ,R,Iowa
22164529,Mitch McConnell ,R,Ky
3103021,Tom Udall ,D,NM
3004556,Ben Cardin ,D,Md
2635057,Shelley Moore Capito ,R,WVa
7520535,Jeff Sessions ,R,Ala
3342529,Pat Toomey ,R,Pa
3131013,Pat Roberts ,R,Kan
10807540,Ron Wyden ,D,Ore
5123560,Thad Cochran ,R,Miss
1570521,David Vitter ,R,La
415501,Tammy Baldwin ,D,Wis
2955024,John Boozman ,R,Ark
1952006,Dick Durbin ,D,Ill
883776,Mike Crapo ,R,Idaho
1542509,Patty Murray ,D,Wash
348501,Robert Menendez ,D,NJ
689531,Jack Reed ,D,RI
1231513,Jerry Moran ,R,Kan
441503,Mark Kirk ,R,Ill
1009028,Mike Enzi ,R,Wyo
1424519,Lisa Murkowski ,R,Alaska
417511,John Thune ,R,SD
2636270,Richard Burr ,R,NC
631003,Sherrod Brown ,D,Ohio
286006,Roger Wicker ,R,Miss
296009,Lindsey Graham ,R,SC
4637011,Roy Blunt ,R,Mo
3260049,Susan Collins ,R,Maine
538008,John Cornyn ,R,Texas
436013,Bernie Sanders ,I,Vt
257003,Patrick Leahy ,D,Vt
283001,Jeff Flake ,R,Ariz
4740516,Dean Heller ,R,Nev
231502,Kirsten Gillibrand ,D,NY
806004,Joe Donnelly ,D,Ind
45475031,Bob Corker ,R,Tenn
1064515,Amy Klobuchar ,D,Minn
668509,Bob Casey ,D,Pa
24930618,Claire McCaskill ,D,Mo
6821132,Sheldon Whitehouse ,D,RI
1656003,Jon Tester ,D,Mont
242889630,Mark Warner ,D,Va
3718010,Jeanne Shaheen ,D,NH
2900514,Jeff Merkley ,D,Ore
4008590,Gary Peters ,D,Mich
-43494,Martin Heinrich ,D,NM
53400024,James E Risch ,R,Idaho
13233516,Michael F Bennet ,D,Colo
10914507,Richard C Shelby ,R,Ala
5222007,John A Barrasso ,R,Wyo
8521526,Al Franken ,D,Minn
4959519,Orrin G Hatch ,R,Utah
2052528,Bill Cassidy ,R,La
2704518,Mazie K Hirono ,D,Hawaii
779008,Charles E Schumer ,D,NY
499508,Barbara A Mikulski ,D,Md
7894536,Joe Manchin ,D,WVa
291510,James Lankford ,R,Okla
210502,Mike Lee ,R,Utah
45570040,John Hoeven ,R,ND
221004,Tim Scott ,R,SC
209508,Cory Gardner ,R,Colo
371005,Marco Rubio ,R,Fla
81745158,Richard Blumenthal ,D,Conn
36608506,Ron Johnson ,R,Wis
8942031,Chris Coons ,D,Del
1193018,Rand Paul ,R,Ky
12677080,Angus King ,I,Maine
14963517,Steven Daines ,R,Mont
7484513,Elizabeth Warren ,D,Mass
12349528,Dan Coats ,R,Ind
4467037,Heidi Heitkamp ,D,ND
3013518,Ted Cruz ,R,Texas
1451518,Tim Kaine ,D,Va
1197506,Kelly Ayotte ,R,NH
380002,Deb Fischer ,R,Neb
2182512,Ed Markey ,D,Mass
563001,Cory Booker ,D,NJ
195507,Brian Schatz ,D,Hawaii
418511,Tom Cotton ,R,Ark
32500,Debbie Stabenow ,D,Mich
33681601,David Perdue ,R,Ga
8945567,Thom Tillis ,R,NC
6295937,James M Inhofe ,R,Okla
2849018,Dan Sullivan ,R,Alaska
2742516,Mike Rounds ,R,SD
1476027,Ben Sasse ,R,Neb
578515,Joni Ernst ,R,Iowa
239004,Christopher S Murphy ,D,Conn
